600.0,490.0
510.0,490.0
508.0,472.0
504.0,546.0
504.0,560.0
404.0,560.0
388.0,536.0
370.0,536.0
404.0,414.0
354.0,414.0
396.0,330.0
352.0,560.0
330.0,560.0
322.0,544.0
316.0,544.0
304.0,544.0
298.0,544.0
284.0,544.0
278.0,544.0
266.0,544.0
258.0,544.0
246.0,544.0
240.0,544.0
246.0,526.0
240.0,526.0
330.0,490.0
232.0,490.0
232.0,532.0
192.0,532.0
190.0,490.0
166.0,470.0
162.0,490.0
160.0,414.0
108.0,414.0
90.0,424.0
66.0,410.0
80.0,396.0
70.0,386.0
76.0,378.0
68.0,370.0
80.0,360.0
70.0,350.0
80.0,346.0
84.0,330.0
